Date,AP,CF,CY,FG,JR,LR,MA,OI,PM,RI,RM,RS,SF,SM,SR,TA,WH,ZC,a,ag,al,au,b,bb,bu,c,cs,cu,eg,fb,fu,hc,i,j,jd,jm,l,m,ni,p,pb,pp,rb,ru,sn,sp,v,wr,y,zn
2010-01-05,,52.9945926927524,,,,,,,,,,,,,-723.6284837754093,-196.87067765221718,,,26.724095594024497,,472.69902433914973,270.295196138509,2.774061894265938,,,-51.93578192139772,,90.80041964408635,,,671.9633896585588,,,,,,-150.0946576331083,-104.06294972596604,,154.00701542462278,,,-78.37142336336632,321.5956493716899,,,317.45134080324465,48.58334396821852,-52.05203155168725,270.06159338482877
2010-01-06,,280.4226271654784,,,,,,,,,,,,,385.0863252481423,-17.196877433806936,,,627.6233203335919,,602.0862073833968,-9.670047932642456,8.58833440679534,,,252.3581838364778,,503.7185677508079,,,176.4039126781582,,,,,,-186.16697487064255,604.3540749438482,,286.08419215328905,,,1034.718329019141,544.8645928069186,,,-278.1913775595434,61.52474394621288,411.6479311872955,249.49191364820908
2010-01-07,,-454.06423544028394,,,,,,,,,,,,,-985.4978018291023,-455.75267223572047,,,-485.7239300895773,,-320.4871828456248,-204.81729615312335,-13.76844004053624,,,-158.58564672421898,,-315.5900678092171,,,-486.7392324627031,,,,,,-342.1032615677941,-674.7397038288403,,-649.3485308568422,,,-910.8951259917662,-384.74382962470673,,,-200.56614426589059,-28.44438014396024,-732.0339629998531,-286.5071572871397
2010-01-08,,-272.81021211778125,,,,,,,,,,,,,-1816.5291579873365,-191.38963624672658,,,-418.1954687820509,,-353.0086512086278,-162.0555196716042,-0.8398250546685181,,,774.4473784351688,,-205.04133255896613,,,-58.204720372871904,,,,,,-207.44761037666487,-432.6142706846366,,-391.67408007207615,,,-403.6889114653456,485.06204715880176,,,-204.43547857536572,-25.68077173919953,-568.3948304671961,-410.9497252540638
2010-01-11,,114.67374917565047,,,,,,,,,,,,,485.3888962706475,242.0296727038563,,,170.19970622771356,,691.6807276447278,-58.52246036648464,3.471251471279415,,,-312.17483082401117,,366.7455551605978,,,372.99736692294937,,,,,,426.6724195736596,-217.5712399294641,,-104.87328663677896,,,818.7312909466377,517.6438561990652,,,260.989957279281,47.43694645409724,-376.7476557405543,106.69980587986944
2010-01-12,,-188.65015576200145,,,,,,,,,,,,,-781.1707438909315,774.3731039182976,,,76.906384274316,,164.24170195440874,32.54906468431026,-3.3197000110349286,,,-211.69596647603427,,-63.434799298523394,,,-199.94713807577082,,,,,,-332.60849260053476,-196.73759635154084,,-150.87565475944427,,,233.27220151574,-153.12435947482507,,,-102.74415214502478,-10.223938850552399,0.0,-89.53350556363999
2010-01-13,,-181.74118192711836,,,,,,,,,,,,,-1158.744898419056,206.20692591738108,,,114.57323839339635,,-80.57615898297526,9.584483332435221,-3.2019929714107813,,,-32.583022163902065,,152.5762985668628,,,254.55741186911058,,,,,,-304.41182787841825,-450.5354940567487,,-228.95434777996016,,,307.19113001382095,59.166273479139534,,,-211.9108868695167,9.97407883068457,-215.75062869257556,-142.84931105539619
2010-01-14,,-368.9797773924304,,,,,,,,,,,,,60.25982505552137,593.2380747720979,,,-358.68208625782745,,-331.4394123085073,-89.79512738719077,-4.488169704543979,,,100.7839272900198,,-217.11055419886304,,,32.55892052548923,,,,,,400.43921079326384,-731.5596566582933,,230.82316463763624,,,-781.2657110920234,-384.9975775519419,,,109.67082858988132,-17.033249218730067,-286.56582277304534,-524.9968706620264
2010-01-15,,-215.19751708145864,,,,,,,,,,,,,-1298.8778062448966,-545.8907544471173,,,127.05070838055175,,-45.72599635179849,-91.80117272498622,-7.055336829505575,,,-143.547901412734,,-161.01314481519387,,,-128.2902214707791,,,,,,-272.7402345404691,304.5762529770682,,-64.48428504441921,,,-732.7175320261521,-753.1135349266967,,,-48.247559855673785,-39.49267862204752,-252.42264195220747,-181.8577268785631
2010-01-18,,263.74737779928734,,,,,,,,,,,,,890.8112384546606,663.3989742675504,,,0.0,,421.92450455020514,111.68065901364203,-2.5495097567963922,,,268.87543584344036,,535.2144497889833,,,313.4431146515249,,,,,,517.7026903814464,649.1857863394616,,314.53582276271874,,,962.6677884660772,-22.5413170789438,,,183.8719518955448,27.223725865501947,213.58261914548464,553.5392154251583
2010-01-19,,-115.01399771080686,,,,,,,,,,,,,-135.14973513837043,564.7791419585525,,,-162.12093784490844,,332.03527329225216,-3.868319005497078,-1.3363062095621219,,,-61.573127255321374,,546.8170294442123,,,55.66333802423279,,,,,,-140.24636858086166,-134.8590409928085,,-161.4810984347562,,,-396.0727115063597,579.069153458241,,,-116.4160722282319,-10.733458578621567,-108.47654135247565,679.2201433588225
2010-01-20,,-479.0673679574969,,,,,,,,,,,,,-688.7998980220856,-720.3306912518232,,,-435.97058107924533,,-510.9055221958388,-131.4828562717748,-8.0049984384758,,,-134.11575983842107,,-556.6796322086861,,,-202.022693587329,,,,,,-6.430297170012257,-670.7911879100513,,-674.650558858471,,,-683.2713589782613,-741.0065384974641,,,-187.94852838908113,-15.089087300282795,-783.9704855555611,-599.7636258468217
2010-01-21,,351.99678598818457,,,,,,,,,,,,,1779.365113254773,564.1116585643482,,,426.96404963780554,,203.05706628342801,102.49358138672358,4.487015598887566,,,265.43586484706134,,195.57206359843775,,,425.4259481492814,,,,,,552.7613066182281,514.5425037503516,,594.528592054422,,,499.3369644655126,690.3931539574028,,,110.99099062536563,-18.333285984787345,625.7969419365958,255.13105455763258
